"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checks if get_html returns a string from mocked request","1","Test get_html function","2_курс.Алгоритмы_и_структуры_данных.Парсинг","Thu Jun 19 16:09:54 UTC 2025","passed","Thu Jun 19 16:09:54 UTC 2025","","test_script","",""
"","0","Test create_csv_doc function","2_курс.Алгоритмы_и_структуры_данных.Парсинг","Thu Jun 19 16:09:54 UTC 2025","passed","Thu Jun 19 16:09:54 UTC 2025","","test_script","",""
"","1","Test get_coll_of_hrefs function","2_курс.Алгоритмы_и_структуры_данных.Парсинг","Thu Jun 19 16:09:54 UTC 2025","passed","Thu Jun 19 16:09:54 UTC 2025","","test_script","",""
"","0","Test get_first_href function","2_курс.Алгоритмы_и_структуры_данных.Парсинг","Thu Jun 19 16:09:54 UTC 2025","passed","Thu Jun 19 16:09:54 UTC 2025","","test_script","",""
